name,Date,datetime,Open,High,Low,Close,Volume,adj_close,ret,mon,momentum_total,momentum,runmeanPrice,price_mon,pprice,runmeanVol,runmeanVol50,volume_mon,vol,gray,blue,yellow,green
DATAUSDT,2022-07-04 20:00:00,1656979200000,0.0287,0.02898,0.0272,0.02754,8504476.1,0.02754,-0.043085476025017444,0,9.0,0,0.02755266666666667,-0.045972561639543316,0,36945608.25333333,40989771.511999995,-9.866274217905097,0,0,0,0,0
TKOUSDT,2022-07-04 20:00:00,1656979200000,0.283,0.287,0.27,0.275,627600.2,0.275,-0.03169014084507027,0,9.0,0,0.2829333333333333,-2.8039585296889586,0,2493643.573333333,2825818.6780000003,-11.755004213567148,0,0,0,0,0
CHESSUSDT,2022-07-04 20:00:00,1656979200000,0.283,0.291,0.265,0.269,3900517.6,0.269,-0.05281690140845052,0,9.0,0,0.2676666666666667,0.4981320049813066,0,7349079.126666666,8554788.36,-14.093969162006639,0,0,0,0,0
POLSUSDT,2022-07-04 20:00:00,1656979200000,0.514,0.528,0.479,0.498,1356350.8,0.498,-0.0311284046692607,0,9.0,0,0.49766666666666665,0.0669792364367084,0,2659752.96,3246052.2660000003,-18.061918230370242,0,0,0,0,0
XMRUSDT,2022-07-04 20:00:00,1656979200000,124.0,125.5,118.6,120.8,58502.325,120.8,-0.02580645161290329,0,9.0,0,119.79333333333332,0.8403361344537884,0,75027.68233333335,118281.2093882,-36.56838417411525,0,0,0,0,0
BEAMUSDT,2022-07-04 20:00:00,1656979200000,0.1275,0.1319,0.1235,0.1254,2214177.0,0.1254,-0.019546520719311955,0,9.0,0,0.12653333333333333,-0.8956796628029395,0,3494267.7333333334,5893185.98,-40.70664416171483,0,0,0,0,0
KEYUSDT,2022-07-04 20:00:00,1656979200000,0.003592,0.003619,0.003361,0.003394,110623733.0,0.003394,-0.05748403221327414,0,9.0,0,0.003456,-1.7939814814814812,0,349950495.3333333,597117855.66,-41.39339629250749,0,0,0,0,0
DOTDOWNUSDT,2022-07-04 20:00:00,1656979200000,22.249,26.1,21.95,25.146,68114.44,25.146,0.12469809464173909,1,9.0,0,22.054466666666666,14.017719766517445,0,92319.26866666667,167925.593,-45.02370542966212,0,0,0,0,0
COCOSUSDT,2022-07-04 20:00:00,1656979200000,0.6855,0.693,0.6611,0.6681,782124.0,0.6681,-0.02538293216630194,0,9.0,0,0.68378,-2.293135218930069,0,2643421.400000004,4916109.5,-46.22940355579948,0,0,0,0,0
REPUSDT,2022-07-04 20:00:00,1656979200000,8.22,8.22,7.79,7.9,31475.39,7.9,-0.037758830694275325,0,9.0,0,8.411999999999999,-6.086543033761278,0,140480.70333333334,271600.3292,-48.2766814947832,0,0,0,0,0
ADADOWNUSDT,2022-07-04 20:00:00,1656979200000,0.005862,0.006624,0.005792,0.006489,287839345.32,0.006489,0.10545144804088591,1,9.0,0,0.0060206,7.779955486164168,0,440829462.74666655,945438071.5062,-53.3729943787465,0,0,0,0,0
BARUSDT,2022-07-04 20:00:00,1656979200000,3.98,4.27,3.94,4.01,212094.25,4.01,0.0024999999999999467,1,9.0,0,3.9706666666666663,0.9905977165883172,0,170284.37333333335,427211.035,-60.14045532945249,0,0,0,0,0
SANTOSUSDT,2022-07-04 20:00:00,1656979200000,3.745,3.839,3.625,3.651,262250.36,3.651,-0.02640000000000009,0,9.0,0,3.6968666666666663,-1.2406903143202308,0,582460.3513333333,1889478.3708,-69.17348405069484,0,0,0,0,0
DIAUSDT,2022-07-04 20:00:00,1656979200000,0.393,0.403,0.375,0.378,1211268.8,0.378,-0.038167938931297773,0,9.0,0,0.3868,-2.275077559462248,0,1944901.3599999999,6389642.505999999,-69.56165609932482,0,0,0,0,0
AKROUSDT,2022-07-04 20:00:00,1656979200000,0.00456,0.0046,0.00409,0.00421,210699135.0,0.00421,-0.07268722466960342,0,9.0,0,0.004378666666666667,-3.8520097442143757,0,246952840.0,1069878524.04,-76.91767481531697,0,0,0,0,0
RLCUSDT,2022-07-04 20:00:00,1656979200000,1.009,1.072,0.984,1.069,4478930.5,1.069,0.0594648166501488,1,8.0,0,0.9140666666666666,16.94989424549632,0,8446280.04,3588890.716,135.3451444577227,1,0,0,0,0
ALCXUSDT,2022-07-04 20:00:00,1656979200000,24.3,25.0,23.2,23.8,13140.1478,23.8,-0.016528925619834656,0,8.0,0,23.913333333333334,-0.4739336492890993,0,85050.43582666667,47589.644086,78.71626791948827,1,0,0,0,0
SPELLUSDT,2022-07-04 20:00:00,1656979200000,0.0009915,0.001,0.0009406,0.0009585,1216534902.0,0.0009585,-0.033282904689863724,0,8.0,0,0.00092422,3.709073597195476,0,6696538663.733334,3850992758.34,73.89122971552737,1,0,0,0,0
BONDUSDT,2022-07-04 20:00:00,1656979200000,2.9,2.94,2.74,2.78,128155.09,2.78,-0.04137931034482767,0,8.0,0,2.7520000000000002,1.017441860465101,0,497696.1253333333,371021.00159999996,34.14230547248173,1,0,0,0,0
STMXUSDT,2022-07-04 20:00:00,1656979200000,0.00726,0.0074,0.00681,0.00693,127215489.0,0.00693,-0.04281767955801097,0,8.0,0,0.007079333333333334,-2.109426499670408,0,257935767.26666668,193845146.34,33.062793748909854,1,0,0,0,0
LSKUSDT,2022-07-04 20:00:00,1656979200000,1.056,1.073,1.006,1.024,211361.6,1.024,-0.02938388625592414,0,8.0,0,1.0803333333333331,-5.214439987658111,0,1427806.9333333333,1079148.592,32.308649978142526,1,0,0,0,0
LINKDOWNUSDT,2022-07-04 20:00:00,1656979200000,0.013084,0.015153,0.012365,0.014627,193666448.06,0.014627,0.117930296545399,1,8.0,0,0.0134678,8.607196424063316,0,304700245.8193333,268658041.9586,13.415643022622566,0,0,0,0,0
SANDUSDT,2022-07-04 20:00:00,1656979200000,1.203,1.2306,1.105,1.1353,34783915.0,1.1353,-0.05643284574468088,0,8.0,0,1.10576,2.6714657791925824,0,47129119.13333333,44671142.08,5.502382385772517,0,0,0,0,0
MFTUSDT,2022-07-04 20:00:00,1656979200000,0.003735,0.003736,0.003531,0.003574,41651462.0,0.003574,-0.04387372926698774,0,8.0,0,0.0037403999999999996,-4.448722061811564,0,269484647.8,284856596.46,-5.396381495472414,0,0,0,0,0
ZENUSDT,2022-07-04 20:00:00,1656979200000,14.91,15.08,14.12,14.41,106068.58,14.41,-0.03353454057679406,0,8.0,0,14.238,1.2080348363534248,0,118353.20666666668,126190.9678,-6.211031795679214,0,0,0,0,0
NULSUSDT,2022-07-04 20:00:00,1656979200000,0.1791,0.1811,0.171,0.1741,2627931.0,0.1741,-0.02683063163778643,0,8.0,0,0.17645333333333332,-1.333685960405009,0,7036159.2,7589955.82,-7.2964406267123705,0,0,0,0,0
DOGEUSDT,2022-07-04 20:00:00,1656979200000,0.06937,0.07002,0.0655,0.06639,421175746.0,0.06639,-0.04309599308157963,0,8.0,0,0.06740666666666666,-1.5082583325091266,0,928283360.4666667,1008759042.738,-7.9776912881895115,0,0,0,0,0
VENUSDT,2022-07-04 20:00:00,1656979200000,0.296,0.3,0.279,0.284,4119490.6,0.284,-0.04054054054054057,0,8.0,0,0.2871333333333333,-1.0912468075226336,0,5975447.26,6756142.816000001,-11.555344184719507,0,0,0,0,0
ICXUSDT,2022-07-04 20:00:00,1656979200000,0.296,0.3,0.279,0.284,4119490.6,0.284,-0.04054054054054057,0,8.0,0,0.2871333333333333,-1.0912468075226336,0,5975447.26,6756142.816000001,-11.555344184719507,0,0,0,0,0
ARDRUSDT,2022-07-04 20:00:00,1656979200000,0.1057,0.1057,0.0995,0.1,349995.0,0.1,-0.05482041587901698,0,8.0,0,0.10182666666666668,-1.793898127536995,0,2304502.9333333354,2653896.35,-13.165300018844542,0,0,0,0,0
KAVAUSDT,2022-07-04 20:00:00,1656979200000,1.798,1.872,1.714,1.796,2279368.7,1.796,-0.0022222222222222365,0,8.0,0,1.8092000000000001,-0.7296042449701581,0,4865115.98,5692822.427999999,-14.53947419699842,0,0,0,0,0
XRPDOWNUSDT,2022-07-04 20:00:00,1656979200000,0.0013201,0.0014355,0.0013022,0.0014114,259730980.84,0.0014114,0.06585107989729644,1,8.0,0,0.0013020466666666592,8.398572503802322,0,885205556.0686626,1074788241.8214011,-17.63907329609972,0,0,0,0,0
APEUSDT,2022-07-04 20:00:00,1656979200000,4.9243,5.1,4.6138,4.7435,9008617.64,4.7435,-0.03638321212367446,0,8.0,0,4.627953333333333,2.496712009484399,0,12529712.941333333,15239600.776199998,-17.781882049684356,0,0,0,0,0
AUDIOUSDT,2022-07-04 20:00:00,1656979200000,0.346,0.351,0.323,0.33,6088997.9,0.33,-0.046242774566473854,0,8.0,0,0.3578,-7.7697037451089965,0,13419678.220000003,16495187.700000003,-18.644889260641754,0,0,0,0,0
DGBUSDT,2022-07-04 20:00:00,1656979200000,0.00953,0.00958,0.00906,0.00925,65163814.3,0.00925,-0.029380902413431387,0,8.0,0,0.009706666666666666,-4.704670329670323,0,112598569.18666664,138897033.068,-18.933783753651802,0,0,0,0,0
MANAUSDT,2022-07-04 20:00:00,1656979200000,0.9038,0.9171,0.8359,0.85,18582698.0,0.85,-0.05963049009846233,0,8.0,0,0.8904666666666666,-4.544433630306205,0,29156953.2,36489737.14,-20.09546934215049,0,0,0,0,0
PHAUSDT,2022-07-04 20:00:00,1656979200000,0.1059,0.1078,0.1011,0.1021,1671904.0,0.1021,-0.03588290840415487,0,8.0,0,0.10488,-2.6506483600305155,0,4927181.6,6207075.36,-20.619916559221547,0,0,0,0,0
AUTOUSDT,2022-07-04 20:00:00,1656979200000,283.0,286.7,270.0,274.5,2246.548,274.5,-0.029692470837751728,0,8.0,0,275.3666666666667,-0.31473187265464503,0,12261.238133333332,15498.237480000002,-20.88624174744978,0,0,0,0,0
VITEUSDT,2022-07-04 20:00:00,1656979200000,0.02375,0.02405,0.02186,0.02225,16142353.1,0.02225,-0.06473308112652376,0,8.0,0,0.02177133333333333,2.198609792693767,0,31626463.853333335,40089981.82399999,-21.11130408545096,0,0,0,0,0
COSUSDT,2022-07-04 20:00:00,1656979200000,0.00634,0.00641,0.00607,0.00617,44525359.6,0.00617,-0.02681388012618302,0,8.0,0,0.006238,-1.0900929785187479,0,162964232.5266666,206783475.30400002,-21.190882256385876,0,0,0,0,0
ZRXUSDT,2022-07-04 20:00:00,1656979200000,0.3008,0.309,0.2907,0.2979,5449702.0,0.2979,-0.010299003322259082,0,8.0,0,0.30680666666666667,-2.9030225331913715,0,9287306.466666667,11830784.1876,-21.49880921333334,0,0,0,0,0
DOCKUSDT,2022-07-04 20:00:00,1656979200000,0.01705,0.01716,0.01605,0.01631,5370614.0,0.01631,-0.042840375586854385,0,8.0,0,0.016562666666666667,-1.5255192400579511,0,21768094.866666667,27776676.42,-21.631751266710168,0,0,0,0,0
OXTUSDT,2022-07-04 20:00:00,1656979200000,0.1054,0.1073,0.1027,0.1038,4382368.0,0.1038,-0.015180265654648917,0,8.0,0,0.10263333333333334,1.1367327054238354,0,10581970.333333334,13509037.46,-21.667473610415666,0,0,0,0,0
CVCUSDT,2022-07-04 20:00:00,1656979200000,0.1484,0.1496,0.1393,0.1406,4467031.0,0.1406,-0.053198653198653134,0,8.0,0,0.14195333333333335,-0.9533649556192259,0,8880705.933333334,11396672.399999999,-22.076325249698897,0,0,0,0,0
MDTUSDT,2022-07-04 20:00:00,1656979200000,0.02599,0.0262,0.02438,0.02468,6498457.9,0.02468,-0.05331799002685078,0,8.0,0,0.025299999999999996,-2.450592885375477,0,30571734.453333333,40605652.918000005,-24.710644315778886,0,0,0,0,0
RADUSDT,2022-07-04 20:00:00,1656979200000,1.654,1.661,1.557,1.579,261469.7,1.579,-0.04534461910519949,0,8.0,0,1.6437333333333335,-3.938189487345891,0,939747.9733333333,1250904.686,-24.874534099128535,0,0,0,0,0
ROSEUSDT,2022-07-04 20:00:00,1656979200000,0.05115,0.05174,0.04881,0.04934,107329002.4,0.04934,-0.035763142466288755,0,8.0,0,0.050864000000000006,-2.9962252280591466,0,215655045.54,297819468.334,-27.58866747483877,0,0,0,0,0
