name,Date,ret,Close,momentum_total,price_mon,volume_mon,exp_price
CHZUSDT,2022-11-11 20:00:00,-0.06895037329819942,0.212,11.0,-8.19596408672306,101.32567315680832,0.27559999999999996
MASKUSDT,2022-11-11 20:00:00,-0.04746835443037978,3.311,10.0,-7.500186247485652,167.75078624906305,4.3043
PAXGUSDT,2022-11-11 20:00:00,-0.02473299606520518,1735.0,9.0,2.983657156424359,124.34299655732252,2255.5
LTCUSDT,2022-11-11 20:00:00,-0.024719466579931737,59.97,9.0,-2.4719466579931746,112.65011905986024,77.961
